english	german	russian
Wiesbaden	Wiesbaden	Висбаден
RAI	Rai_–_Radiotelevisione_Italiana	RAI
Werdau	Werdau	Вердау
Richard_Wagner	Richard_Wagner	Вагнер,_Рихард
	Bestattungsurne	Погребальная_урна
	Schtschukin	Щукин
1845	1845	1845_год
Nieder-Eschbach	Frankfurt-Nieder-Eschbach	
	Leherheide	
Tom_McGrath_(animator)	Tom_McGrath_(Animator)	Макграт,_Том
Petersberg_(Siebengebirge)	Petersberg_(Siebengebirge)	
Equitable_Building_(New_York_City)	Equitable_Building_(New_York)	
	Georg_Frantz	
Kaarel_Eenpalu	Kaarel_Eenpalu	Ээнпалу,_Каарел
Amaranth	Amarant_(Pflanzengattung)	Амарант
Joachim_Daniel_von_Jauch	Joachim_Daniel_Jauch	
Ulan_County	Ulan_(Haixi)	Улан_(уезд)
	Wieseberg	
Carl_Kundmann	Carl_Kundmann	Кундман,_Карл
	Alles_Klara	
	Gérard_Lecomte_(Künstler)	
Maryland	Maryland	Мэриленд
Shrek_Forever_After	Für_immer_Shrek	Шрек_навсегда
	Nürnberger_Astronomische_Arbeitsgemeinschaft	
ATP_Challenger_Tour	ATP_Challenger_Tour	Мировой_тур_ATP_Challenger
Staatliche_Kunsthalle_Karlsruhe	Staatliche_Kunsthalle_Karlsruhe	Кунстхалле_(Карлсруэ)
	Nikolaus_Egender	
Christoph_Blocher	Christoph_Blocher	Блохер,_Кристоф
	Kabinett_Murayama_(Umbildung)	
	Amt_Zeitz	
	Kreis_Zeitz	
December_19	19._Dezember	19_декабря
New_York_City_Subway	New_York_City_Subway	Нью-Йоркский_метрополитен
Lucie_Hradecká	Lucie_Hradecká	Градецкая,_Луция
Çorumspor	Çorumspor	
Carousel_(musical)	Carousel_(Musical)	
Florida	Florida	Флорида
ZDF	ZDF	ZDF
Schnauder	Schnauder	Шнаудер
	Brauerschwend	
Wolfgang_Neuss	Wolfgang_Neuss	
Bourscheid	Bourscheid_(Begriffsklärung)	
Gospel_of_Matthew	Evangelium_nach_Matthäus	Евангелие_от_Матфея
	Oberlödla	
Grand_Detour_Township,_Ogle_County,_Illinois	Grand_Detour_Township	
Bust_(sculpture)	Büste	Бюст_(скульптура)
Wii_Sports_Resort	Wii_Sports_Resort	Wii_Sports_Resort
Square_metre	Quadratmeter	Квадратный_метр
1668	1668	1668_год
Barrel_vault	Tonnengewölbe	Цилиндрический_свод
	Appellationsgericht_Litauens	Апелляционный_суд_Литвы
December_1	1._Dezember	1_декабря
2017_German_federal_election	Bundestagswahl_2017	Парламентские_выборы_в_Германии_(2017)
Baekje	Baekje	Пэкче
Burgundians	Burgunden	Бургунды
Kingdom_of_England	Königreich_England	Королевство_Англия
Hebei	Hebei	Хэбэй
	Denkmalliste	
Transylvania_University	Transylvania_University	
Lignite	Braunkohle	Бурый_уголь
	Wandermotiv	
	Kertschütz	
Circulator	Zirkulator	Циркулятор
	Franz_Elsner_(Maler)	
Ash_Wednesday	Aschermittwoch	Пепельная_среда
Cronenberg,_Wuppertal	Cronenberg_(Wuppertal)	
	Ernst_Giese_(Architekt)	
Gotha_Program	Gothaer_Programm	
Niki_Terpstra	Niki_Terpstra	Терпстра,_Ники
Mayor	Bürgermeister	Мэр
	Bergvogt_(Bergbau)	
	Bauunternehmen	
Greiz_(district)	Landkreis_Greiz	Грайц_(район)
Düsseldorf-Gerresheim	Gerresheim	Дюссельдорф-Герресхайм
Peking_University	Universität_Peking	Пекинский_университет
1984_Úrvalsdeild	Isländische_Fußballmeisterschaft_1984	Чемпионат_Исландии_по_футболу_1984
Prelate	Prälat	Прелат
	Gemeinderecht_(Pfronten)	
	Carl_Schumann_(Architekt)	
	Identitätsfeststellung	
Turritellidae	Turmschnecken	Туррителлиды
Ottawa_Race_Weekend	Ottawa-Marathon	
Ephemeris	Ephemeriden	Эфемерида
Austria_v_West_Germany_(1978_FIFA_World_Cup)	Córdoba_1978	Футбольный_матч_Австрия_—_ФРГ_(1978)
1915	1915	1915_год
Brahmenau	Brahmenau	Браменау
	Leisure_20	
Rostov-on-Don	Rostow_am_Don	Ростов-на-Дону
River_Laggan	Laggan_(Fluss)	
Marc_Zellweger	Marc_Zellweger	
	Volkslied	
Wollaston_Medal	Wollaston-Medaille	Медаль_Волластона
	Wimmersbach	
	Bundesstraße_180	
Western_Neolithic_ware	Western_Neolithic_Ware	
	Bodenwelle	
	Schirmfeder	
Cymbal	Becken_(Musikinstrument)	Тарелка_(музыкальный_инструмент)
Mile_run	Meilenlauf	Бег_на_1_милю
Rossini_Opera_Festival	Rossini_Opera_Festival_Pesaro	
Rainer_Werner_Fassbinder	Rainer_Werner_Fassbinder	Фасбиндер,_Райнер_Вернер
Lieuvin	Lieuvin	
Der_Wanderer	Des_Fremdlings_Abendlied	
	Braunkohlebergbau	
1934–35_French_Division_2	Division_2_1934/35	
Chambered_cairn	Cairn_(Steinhügel)	
Museum_in_the_Kulturbrauerei	Museum_in_der_Kulturbrauerei	
	Ernestiner	Эрнестинская_линия_Веттинов
	Leander_Kröber	
DRG_Class_SVT_137	DR_137_149_…_232	DRG_137_149_…_232
Second_Spanish_Republic	Zweite_Spanische_Republik	Вторая_Испанская_Республика
Derby_County_F.C.	Derby_County	Дерби_Каунти
Iamb_(poetry)	Jambus	Ямб
Silla	Silla	Силла
	Konstellation	
Green_Mountains	Green_Mountains	Зелёные_горы
1844	1844	1844_год
German_Trade_Union_Confederation	Deutscher_Gewerkschaftsbund	Объединение_немецких_профсоюзов
2009_ICF_Canoe_Slalom_World_Championships	Kanuslalom-Weltmeisterschaften_2009	
Corps_Marko-Guestphalia_Aachen	Corps_Marko-Guestphalia_Aachen	
Nazilli_Belediyespor	Nazilli_Belediyespor	
1870	1870	1870_год
	Joachim_von_Neuhaus	
Cairo	Kairo	Каир
	Kleinröda	
Qingdao	Qingdao	Циндао
Sremska_Mitrovica	Sremska_Mitrovica	Сремска-Митровица
Amaranthus_cruentus	Rispen-Fuchsschwanz	
	Zonenturnier	Зональные_турниры
	Meinersdorf_(Zeulenroda-Triebes)	
Law_&_Order:_Special_Victims_Unit	Law_&_Order:_Special_Victims_Unit	Закон_и_порядок:_Специальный_корпус
Duke_University	Duke_University	Университет_Дьюка
Parousia	Parusie	Парусия
	Zangersheider_Pferd	
Buynaksk	Buinaksk	Буйнакск
Friday_the_13th_(franchise)	Freitag_der_13._(Filmreihe)	Пятница,_13-е_(франшиза)
Luis_Lobo	Luis_Lobo	Лобо,_Луис
Slasher_film	Slasher-Film	Слэшер_(жанр)
Hochschule_für_Musik_Freiburg	Hochschule_für_Musik_Freiburg	Фрайбургская_Высшая_школа_музыки
March_25	25._März	25_марта
Icelandic_language	Isländische_Sprache	Исландский_язык
	Ferdinand_(Schwarzenberg)	
Vilnius_District_Municipality	Rajongemeinde_Vilnius	Вильнюсский_район
Crimean_Astrophysical_Observatory	Krim-Observatorium	Крымская_астрофизическая_обсерватория
Kokkolan_Hermes	Kokkolan_Hermes	
Strait_of_Magellan	Magellanstraße	Магелланов_пролив
Hamlet_(place)	Weiler	Деревня
Xuzhou	Xuzhou	Сюйчжоу
California_Gold_Rush	Kalifornischer_Goldrausch	Калифорнийская_золотая_лихорадка
Žižkov	Žižkov	Жижков
Bad_Urach	Bad_Urach	Бад-Урах
List_of_Ecumenical_Patriarchs_of_Constantinople	Liste_der_Patriarchen_von_Konstantinopel	Список_патриархов_Константинопольских
Social_Democratic_Party_of_Germany	Sozialdemokratische_Partei_Deutschlands	Социал-демократическая_партия_Германии
Jiří_Paroubek	Jiří_Paroubek	Пароубек,_Иржи
	Baugewerkschule	
Mykolas_Romeris_University	Mykolas-Romeris-Universität	Университет_Миколаса_Ромериса
Lorraine	Lothringen	Лотарингия
Christiane_Sadlo	Christiane_Sadlo	
Celle	Celle	Целле
Coronel,_Chile	Coronel_(Stadt)	Коронель_(Чили)
Norman_Orenstein	Norman_Orenstein	
Dirk_Nowitzki	Dirk_Nowitzki	Новицки,_Дирк
Time_control	Bedenkzeit	Контроль_времени
Le_Havre_AC	Le_Havre_AC	Гавр_(футбольный_клуб)
Pork	Schweinefleisch	Свинина
Pericles,_Prince_of_Tyre	Perikles,_Prinz_von_Tyrus	Перикл_(пьеса)
Indie_rock	Indie-Rock	Инди-рок
Audio_frequency	Niederfrequenz	
Maximianus_(poet)	Maximianus_(Dichter)	Максимиан_(поэт)
	Ken_Folletts_Eisfieber	
Einheitsübersetzung	Einheitsübersetzung	
Sehnsucht	Sehnsucht	Sehnsucht_(романтизм)
Kristianstad_Municipality	Kristianstad_(Gemeinde)	
Kaarel_Kiidron	Kaarel_Kiidron	Кийдрон,_Каарел
Flancourt-Crescy-en-Roumois	Flancourt-Crescy-en-Roumois	
Monte_di_Malo	Monte_di_Malo	Монте-ди-Мало
Aston_Villa_F.C.	Aston_Villa	Астон_Вилла
Republican_Main_Street_Partnership	Republican_Main_Street_Partnership	
Benedictines	Benediktiner	Бенедиктинцы
Vaudeville	Vaudeville	Водевиль
Hochschule_für_Musik_Saar	Hochschule_für_Musik_Saar	
Tennis_at_the_2000_Summer_Olympics_–_Men's_doubles	Olympische_Sommerspiele_2000/Tennis/Herrendoppel	
	Amtshauptmannschaft_Zwickau	
Clan_Donald	Clan_MacDonald	Клан_Макдональд
	Albert_Giese_(Architekt)	
Fugou_County	Fugou	Фугоу
	Ernst_von_Graben	
Pays_de_Caux	Pays_de_Caux	
Karlsruhe_(district)	Landkreis_Karlsruhe	Карлсруэ_(район)
Intermediate_frequency	Zwischenfrequenz	Промежуточная_частота
	Liste_von_Sakralbauten_in_Radebeul	
	Geodät	Инженер-геодезист
	Autorenlesung	
Building_services_engineering	Versorgungstechnik	
	Jürgen_Schieferdecker	
Cologne_Lowland	Kölner_Bucht	
	Viktor_Hirsch	
Ellen_Serwaa_Nee-Whang	Ellen_Serwa_Nee-Whang	
1967_Swiss_federal_election	Schweizer_Parlamentswahlen_1967	Парламентские_выборы_в_Швейцарии_(1967)
Boston_Marathon	Boston-Marathon	Бостонский_марафон
Gérard_Philipe	Gérard_Philipe	Филип,_Жерар
YouTube	YouTube	YouTube
	Otto_Kapfinger	
1973–74_Eredivisie_(ice_hockey)_season	Eishockey-Eredivisie_(Niederlande)_1973/74	
Świdnica	Świdnica	Свидница
Philosophy	Philosophie	Философия
Prussian_Union_of_Churches	Evangelische_Kirche_der_altpreußischen_Union	Прусская_уния
	Jason_Roebke	
Bad_Lauchstädt	Bad_Lauchstädt	Бад-Лаухштедт
Initial	Initiale	Буквица
Gupta_Empire	Gupta-Reich	Государство_Гуптов
Apennine_Mountains	Apennin	Апеннины
Motörhead	Motörhead	Motörhead
Qiqihar	Qiqihar	Цицикар
	Johann_Friedrich_Knöbel	
1963_Úrvalsdeild	Isländische_Fußballmeisterschaft_1963	Чемпионат_Исландии_по_футболу_1963
Catholic_Church	Römisch-katholische_Kirche	Католическая_церковь
Olmsted_Brothers	Olmsted_Brothers	
Family_(biology)	Familie_(Biologie)	Семейство
1942	1942	1942_год
	Lothar_Abel	
Cockpit_(sailing)	Plicht	
Zeitgeschichtliches_Forum_Leipzig	Zeitgeschichtliches_Forum_Leipzig	
Dresden_Castle	Residenzschloss_Dresden	Дрезденский_замок-резиденция
Rosaceae	Rosengewächse	Розовые
	Trockenfallen_von_Wasserfahrzeugen	
August_25	25._August	25_августа
	Schloss_Reinhardtsgrimma	
Franklin_Avenue_Shuttle	Franklin-Avenue-Shuttle	Челнок_Франклин-авеню
	Land_Thüringen_(1920–1952)	
	Mergelgrube	
Czech_National_Football_League	Fotbalová_národní_liga	Вторая_лига_Чехии_по_футболу
André_Malraux	André_Malraux	Мальро,_Андре
Route_nationale_138	Route_nationale_138	
	Grundherrschaft_Ziegelheim	
Jetse_Bol	Jetse_Bol	Бол,_Йетсе
Megalith	Megalith	Мегалит
Lake_Biwa	Biwa-See	Бива_(озеро)
	Prinsepia_scandens	
	Standvogel	
General_officer	General	Генерал
Devonian	Devon_(Geologie)	Девонский_период
Münster	Münster	Мюнстер
	Schweizerisches_Forschungsinstitut_für_Hochgebirgsklima_und_Medizin	
December_27	27._Dezember	27_декабря
2004	2004	2004_год
Prince_Edward_Island_Route_2	Prince_Edward_Island_Route_2	
Shizuoka_Prefecture	Präfektur_Shizuoka	Сидзуока_(префектура)
Intellectual_disability	Geistige_Behinderung	Умственная_отсталость
Torsion_bar_suspension	Drehstabfeder	Торсионная_подвеска
Law_&_Order:_UK	Law_&_Order:_UK	Закон_и_порядок:_Лондон
Vipera_berus	Kreuzotter	Обыкновенная_гадюка
Antivirus_software	Antivirenprogramm	Антивирусная_программа
	Rudolf_Herzog	
RF_and_microwave_filter	Topfkreis	
Melodifestivalen	Melodifestivalen	Melodifestivalen
Appalachian_Mountains	Appalachen	Аппалачи
Luyi_County	Luyi	Луи_(уезд)
Liberal_Union_of_Lithuania	Lietuvos_liberalų_sąjunga	Союз_либералов_Литвы
Matteo_Lodo	Matteo_Lodo	
	Lehe_(Bremerhaven)	
	Olympiasieger	Олимпийский_чемпион
Lausanne	Lausanne	Лозанна
Silurian	Silur	Силурийский_период
	Deutscher_Frauenrat	
	Kabinett_Börner_III	
Ice_hockey	Eishockey	Хоккей_с_шайбой
Sportsperson_of_the_Year_(Slovakia)	Sportler_des_Jahres_(Slowakei)	Список_спортсменов_года_в_Словакии
2016_European_Rowing_Championships	Ruder-Europameisterschaften_2016	
	Fußball-Regionalliga_Süd_(Frauen)	
	Bautechniker	
Castle	Burg	Замок_(строение)
October_20	20._Oktober	20_октября
Charles_IV,_Holy_Roman_Emperor	Karl_IV._(HRR)	Карл_IV_(император_Священной_Римской_империи)
Landesstraße	Landesstraße	
Wrocław_Cathedral	Breslauer_Dom	Собор_Иоанна_Крестителя_(Вроцлав)
	Bei_der_blonden_Kathrein_(1959)	
	FIS-Rennen	
Hypokeimenon	Hypokeimenon	
Safe_conduct	Freies_Geleit	
Snap_freezing	Cook_and_Chill	
Frans_Geurtsen	Frans_Geurtsen	
Saxony	Sachsen	Саксония_(земля)
Royal_Shakespeare_Company	Royal_Shakespeare_Company	Королевская_шекспировская_компания
	Religionspädagogisches_Institut_Loccum	
Provost_(religion)	Propst	Пробст
	Frank_Dupré	
	Bauartzulassung	
	Cody_Marshall	
Hiroshima_Prefecture	Präfektur_Hiroshima	Хиросима_(префектура)
Wissenschaftlicher_Assistent	Wissenschaftlicher_Assistent	
Esslingen_am_Neckar	Esslingen_am_Neckar	Эслинген-ам-Неккар
Ascenso_MX	Ascenso_MX	Ассенсо_МХ
1927	1927	1927_год
	Afamado	
	Dresden-Marathon	
Province_of_Saxony	Provinz_Sachsen	Саксония_(провинция)
Unemployment	Arbeitslosigkeit	Безработица
Full-size_car	Full-Size_Car	
Exclave	Exklave	Эксклав
DUT1	DUT1	
	Malowetz_(Adelsgeschlecht)	
Lotto–Soudal	Lotto_Soudal	Lotto_Soudal
	Zeichentrickfilm	
1999_ICF_Canoe_Slalom_World_Championships	Kanuslalom-Weltmeisterschaften_1999	
Daniel_Radcliffe	Daniel_Radcliffe	Рэдклифф,_Дэниел
1600	1600	1600_год
Orino,_Lombardy	Orino	Орино
	Sicherheitspolizeischule_Drögen	
Bologna_Outdoor	ATP_Bologna	
Russia	Russland	Россия
Marcus_H._Rosenmüller	Marcus_H._Rosenmüller	
	Familiengarten_Eberswalde	
	Vainauskas	
Da_kommt_Kalle	Da_kommt_Kalle	
Choir	Chor_(Musik)	Хор
Railway_platform_height	Bahnsteighöhe	
University_of_Freiburg	Albert-Ludwigs-Universität_Freiburg	Фрайбургский_университет
Clemson_University	Clemson_University	
Seed	Same_(Pflanze)	Семя
	Umweltbewusstsein	
	Prößdorf	
Rosamunde_Pilcher	Rosamunde_Pilcher	Пилчер,_Розамунда
Fair_trade	Fairer_Handel	Справедливая_торговля
Australian_Aboriginal_languages	Australische_Sprachen	Австралийские_языки
Abbot	Abt	Аббат
Faye_Dunaway	Faye_Dunaway	Данауэй,_Фэй
Balázs_Taróczy	Balázs_Taróczy	Тароци,_Балаж
Bach-Werke-Verzeichnis	Bach-Werke-Verzeichnis	BWV
	Liste_der_Landesstraßen_in_Thüringen_ab_der_L_1000	
Christian_Democratic_Union_of_Germany	Christlich_Demokratische_Union_Deutschlands	Христианско-демократический_союз_Германии
United_States_Army	United_States_Army	Армия_США
Carinthia	Kärnten	Каринтия
2012_Tour_of_Belgium	Belgien-Rundfahrt_2012	
Frankfurter_Allgemeine_Zeitung	Frankfurter_Allgemeine_Zeitung	Frankfurter_Allgemeine_Zeitung
	Falkenhain_(Meuselwitz)	
William_IV_of_the_United_Kingdom	Wilhelm_IV._(Vereinigtes_Königreich)	Вильгельм_IV_(король_Великобритании)
Let_the_Peoples_Sing	Let_the_Peoples_Sing	
Eugène_Ionesco	Eugène_Ionesco	Ионеско,_Эжен
Ströer	Ströer_Media	
November_5	5._November	5_ноября
Lučenec	Lučenec	Лученец
	Berliner_Bibliophilen_Abend	
Sibiu	Hermannstadt	Сибиу
Kung_fu_(term)	Kung_Fu	Кунг-фу
Northern_Wei	Nördliche_Wei-Dynastie	Северная_Вэй
Wallonia	Wallonische_Region	Валлония
NAC_Breda	NAC_Breda	НАК_Бреда
	Hotels_Bastei,_Königstein_und_Lilienstein	
Never_Mind_the_Bollocks,_Here's_the_Sex_Pistols	Never_Mind_the_Bollocks,_Here’s_the_Sex_Pistols	Never_Mind_the_Bollocks,_Here’s_the_Sex_Pistols
Corbel	Konsole_(Bauwesen)	Консоль_(архитектура)
International_Tennis_Federation	International_Tennis_Federation	Международная_федерация_тенниса
University_of_Königsberg	Albertus-Universität_Königsberg	Кёнигсбергский_университет
Burtscheid	Burtscheid	
Lyon	Lyon	Лион
	Marienturm_(Aachen)	
Officer_(armed_forces)	Offizier	Офицер
Johann_Reuchlin	Johannes_Reuchlin	Рейхлин,_Иоганн
	Kurzwellensender	
1895	1895	1895_год
Time_(magazine)	Time	Time
4012_Geballe	(4012)_Geballe	
Zhengzhou	Zhengzhou	Чжэнчжоу
	DR-Baureihe_VT_12.14	DR_Baureihe_VT_12.14
Strophe	Strophe	
	Hans_Walter_Hütter	
Veteran	Veteran	Ветеран
Mountfield_HK	Mountfield_HK	Маунтфилд_(хоккейный_клуб,_Градец-Кралове)
Bern	Bern	Берн
Allotment_(gardening)	Kleingarten	
Zürich	Zürich	Цюрих
Silver	Silber	Серебро
City	Stadt	Город
Palomar_Observatory	Palomar-Observatorium	Паломарская_обсерватория
Justinian_I	Justinian_I.	Юстиниан_I
Schubert_Thematic_Catalogue	Deutsch-Verzeichnis	
The_Wayfarer	Der_Hausierer	Блудный_сын_(картина_Босха)
Lyric_poetry	Lyrik	Лирика
Cross-bedding	Schrägschichtung	
Lauingen	Lauingen_(Donau)	Лауинген
Kargilik_County	Kargilik	Каргалык_(уезд)
Walt_Disney	Walt_Disney	Дисней,_Уолт
Preis_der_deutschen_Schallplattenkritik	Preis_der_deutschen_Schallplattenkritik	
Mile	Meile	Миля
	Sächsischer_Landtag_(1831–1918)	
Longué-Jumelles	Longué-Jumelles	
	Claus_Jansen_Rollwagen	
	Die_Jahrhundertlawine	
Orography	Orographie	Орография
Gondwana	Gondwana	Гондвана
Théâtre_de_la_Gaîté_(rue_Papin)	Théâtre_de_la_Gaîté	
Lynn_Harrell	Lynn_Harrell	Харрелл,_Линн
Nonprofit_organization	Non-Profit-Organisation	Некоммерческая_организация
	Stanislaus_Wülberz	
	Johannes_Max_Hugo_Richter	
William_Aitken_(footballer)	William_Aitken	Эйткен,_Джордж
Nora_Roberts	Nora_Roberts	Нора_Робертс
Windows_Update	Microsoft_Update	Центр_обновления_Windows
Atlanta	Atlanta	Атланта
George_of_Poděbrady	Georg_von_Podiebrad	Йиржи_из_Подебрад
Great_Highland_bagpipe	Great_Highland_Bagpipe	
Submarine	U-Boot	Подводная_лодка
Frogmore	Frogmore_(Windsor)	
Astronomer	Astronom	Астроном
Timothy_Guy_Phelps	Timothy_Guy_Phelps	
Water_tower	Wasserturm	Водонапорная_башня
February_18	18._Februar	18_февраля
Tennis_at_the_1996_Summer_Olympics_–_Men's_singles	Olympische_Sommerspiele_1996/Tennis/Herreneinzel	
Olga_Rubtsova	Olga_Nikolajewna_Rubzowa	Рубцова,_Ольга_Николаевна
Ludwig_Finscher	Ludwig_Finscher	Финшер,_Людвиг
Political_groups_of_the_European_Parliament	Fraktion_im_Europäischen_Parlament	Фракции_Европейского_парламента
Box	Kasten_(Behälter)	Коробка
Natural_region	Naturraum	Природный_территориальный_комплекс
Aquatic_sill	Schwelle_(Geomorphologie)	
Africa	Afrika	Африка
	Hišep-Ratep	
Lüttringhausen	Lüttringhausen	
MNEK	MNEK	MNEK
Três_Coroas	Três_Coroas	Трес-Короас
Menhir	Menhir	Менгир
William_II_of_Pernstein	Wilhelm_II._von_Pernstein	Вилем_II_из_Пернштейна
Wyhra	Wyhra	Вира_(приток_Плайсе)
South_Holland	Provinz_Zuid-Holland	Южная_Голландия
Styria	Steiermark	Штирия_(земля)
Linkin_Park	Linkin_Park	Linkin_Park
SEB_bankas	SEB_bankas	
Lebanon	Libanon	Ливан
	Vincenz_Ludwig_Ostry	
Jean_Albert_Gaudry	Jean_Albert_Gaudry	Годри,_Жан_Альбер
Guglionesi	Guglionesi	Гульонези
Vienna_Ring_Road	Wiener_Ringstraße	Рингштрасе
Terrace_(geology)	Terrasse_(Geologie)	
Order_of_Friars_Minor_Capuchin	Kapuziner	Капуцины_(монашеский_орден)
HC_Oceláři_Třinec	HC_Oceláři_Třinec	Оцеларжи_Тршинец
1994_Uruguayan_general_election	Wahlen_in_Uruguay_1994	
Hufner	Hufner	
Catalan_language	Katalanische_Sprache	Каталанский_язык
Nicolas_Gigault	Nicolas_Gigault	
Tianshui	Tianshui	Тяньшуй
Hochschule_für_Musik_und_Tanz_Köln	Hochschule_für_Musik_und_Tanz_Köln	Кёльнская_высшая_школа_музыки
Cloris_Leachman	Cloris_Leachman	Личмен,_Клорис
	Sportreporter	
	Helen_Dorn:_Die_falsche_Zeugin	
Johan_Cruyff	Johan_Cruyff	Кройф,_Йохан
	Damasias_(Archon)	
Alderney	Alderney	Олдерни
Fort_Dodge,_Iowa	Fort_Dodge	
Aros_Bay	Aros_Bay	
Huguenots	Hugenotten	Гугеноты
Adolf_Krischanitz	Adolf_Krischanitz	
2015_European_Rowing_Championships	Ruder-Europameisterschaften_2015	Чемпионат_Европы_по_академической_гребле_2015
	Audio	
Bratislava	Bratislava	Братислава
Taiyuan	Taiyuan	Тайюань
German_Labour_Front	Deutsche_Arbeitsfront	Германский_трудовой_фронт
Primary_energy	Primärenergie	Первичная_энергия
Portocannone	Portocannone	Портоканноне
Nausori	Nausori	Наусори
Sea_shanty	Shanty	Шанти_(жанр_песен)
Mario_Tanassi	Mario_Tanassi	Танасси,_Марио
Asymmetric_warfare	Asymmetrische_Kriegführung	Асимметричная_война
Library	Bibliothek	Библиотека
Video_game_developer	Spieleentwickler	Разработчик_видеоигр
Census	Volkszählung	Перепись_населения
	Kleinsteinbach	
	Landratsamt_Ronneburg	
	Flugplatz_Lauf-Lillinghof	
1961	1961	1961_год
Nezool	Nezool	
Stahlhelm,_Bund_der_Frontsoldaten	Stahlhelm,_Bund_der_Frontsoldaten	Стальной_шлем
Spencer_Breslin	Spencer_Breslin	Бреслин,_Спенсер
Spelman_(music)	Spielmann	Шпильман
German_War_Graves_Commission	Volksbund_Deutsche_Kriegsgräberfürsorge	Народный_союз_Германии_по_уходу_за_военными_захоронениями
State_attorney_general	Attorney_General_(US-Bundesstaaten)	
Unfree_labour	Zwangsarbeit	Принудительный_труд
Nathan_Healey	Nathan_Healey	Хили,_Натан
ARD_(broadcaster)	ARD	ARD
Half-timbered	Fachwerkhaus	
	Beinn_Bhàn_(Islay)	
Uruguay	Uruguay	Уругвай
April_2	2._April	2_апреля
Transporter_wagon	Rollwagen_(Transport)	
Judicial_vicar	Offizial	
Shangzhi	Shangzhi	Шанчжи
	Schötmar	
	Sandgrube_im_Jagen_86	
Xi'an	Xi’an	Сиань
Rapping	Rap	Рэп
Abandoned_village	Wüstung	Пустошь_(топоним)
December_15	15._Dezember	15_декабря
The_Sheep_and_the_Goats	Vom_Weltgericht	
Vogelsberg	Vogelsberg	Фогельсберг
	Bonustrack	Бонусный_трек
Juventus_F.C.	Juventus_Turin	Ювентус
1921	1921	1921_год
	Rolika	
Leopold_III,_Margrave_of_Austria	Leopold_III._(Österreich)	Леопольд_III_(маркграф_Австрии)
Ore_Mountains	Erzgebirge	Рудные_горы
Protoje	Protoje	
Ghetto	Ghetto	Гетто
A_cappella	A_cappella	А_капелла
Port_Askaig	Port_Askaig	
Shinto	Shintō	Синтоизм
Popayán	Popayán	Попаян
New_Orleans_Saints	New_Orleans_Saints	Нью-Орлеан_Сэйнтс
1795	1795	1795_год
České_Budějovice_District	Okres_České_Budějovice	Ческе-Будеёвице_(район)
The_New_York_Times	The_New_York_Times	The_New_York_Times
Grantola	Grantola	Грантола
SG_Cortina	SG_Cortina	Кортина_(хоккейный_клуб)
Lynn_Redgrave	Lynn_Redgrave	Редгрейв,_Линн
Hell	Hölle	Ад
İmamkullu_relief	Felsrelief_von_İmamkullu	
	Akher_Tsagh	
Palenque	Palenque	Паленке
	Turm_Davids	
Aphasia	Aphasie	Афазия
	Lehma	
October_25	25._Oktober	25_октября
	Sud_America_(Schiff)	
	Schule_am_Pulverrasen	
Minyas_(mythology)	Minyas	Миний
	Egon_Körner	
	Grafschaft_(Großlage)	
	Auflandeteich_Groß_Bülten-Adenstedt	
Power_dividers_and_directional_couplers	Richtkoppler	Направленный_ответвитель
Radial_velocity	Radialgeschwindigkeit	Радиальная_скорость
	Triangulation_(Messtechnik)	
German_Red_Cross	Deutsches_Rotes_Kreuz	
Abbey_of_the_Dormition	Dormitio-Abtei	Монастырь_Успения_Пресвятой_Богородицы_(гора_Сион)
Kristy_Swanson	Kristy_Swanson	Свэнсон,_Кристи
May_6	6._Mai	6_мая
China_National_Highway_312	Nationalstraße_312_(China)	Годао_312
Indiana	Indiana	Индиана
	Unserer_Lieben_Frau_(Todtmoos)	
United_States_Congress	Kongress_der_Vereinigten_Staaten	Конгресс_США
	Hofschaft	
Karel_Stibor	Karel_Stibor	Стибор,_Карел
Nation_of_China	China	Китайская_цивилизация
Dieter_Duhm	Dieter_Duhm	
Dynamical_time_scale	Dynamische_Zeit	Динамическое_время
CHIO_Aachen	CHIO_Aachen	
Drawbridge	Zugbrücke	Подъёмный_мост
Feminist_theology	Feministische_Theologie	Феминистское_богословие
	Widerstandskämpfer	
	Motorvision_TV	
Udo_Lindenberg	Udo_Lindenberg	Линденберг,_Удо
Oscilloscope	Oszilloskop	Осциллограф
December_7	7._Dezember	7_декабря
Scott_Township,_Ogle_County,_Illinois	Scott_Township_(Ogle_County,_Illinois)	
Gábor_Köves	Gábor_Köves	
Horn_(Schwarzbach)	Hornbach_(Schwarzbach)	
Senate_of_Uruguay	Cámara_de_Senadores	Сенат_Уругвая
	Gewandhaus_(Dresden)	
Utena	Utena	Утена
Ice_hockey_at_the_1980_Winter_Olympics	Olympische_Winterspiele_1980/Eishockey	Хоккей_на_зимних_Олимпийских_играх_1980
University_of_Cauca	Universidad_del_Cauca	
Wutach_(village)	Wutach_(Gemeinde)	Вутах
Biophysics	Biophysik	Биофизика
Achema	AB_Achema	Achema
Cecilia_Bartoli	Cecilia_Bartoli	Бартоли,_Чечилия
Sport	Sport	Спорт
2012_French_Open	French_Open_2012	Открытый_чемпионат_Франции_по_теннису_2012
	Generalstaatsanwalt	
Mên-an-Tol	Mên-an-Tol	
	Stadtgemeinde_Klaipėda	
Journalist	Journalist	Журналист
The_New_Adventures_of_Superman_(TV_series)	Ein_Job_für_Superman	
